ProductID,ProductName,Category,Stock,UnitPrice,RetailPrice,MaxCapacity,ShelfPosition
PROD64768_017,beer1_R1C1,beer1,198,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD64768_017,beer1_R1C1,beer1,200,959.43,1277.98,200,A1-S7
PROD52586_018,beer1_R1C2,beer1,49,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,50,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,50,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,50,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,50,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,50,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,50,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,49,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,50,265.88,336.42,50,A1-S8
PROD52586_018,beer1_R1C2,beer1,50,265.88,336.42,50,A1-S8
PROD30802_019,beer1_R1C3,beer1,297,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,294,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,297,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,297,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,297,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,297,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,297,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,297,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,297,675.93,987.47,300,A1-S9
PROD30802_019,beer1_R1C3,beer1,300,675.93,987.47,300,A1-S9
PROD36153_020,beer1_R1C4,beer1,150,611.5,813.51,150,A2-S0
PROD36153_020,beer1_R1C4,beer1,148,611.5,813.51,150,A2-S0
PROD36153_020,beer1_R1C4,beer1,150,611.5,813.51,150,A2-S0
PROD36153_020,beer1_R1C4,beer1,150,611.5,813.51,150,A2-S0
